"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 6.30281187e-02, 1.11471564e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42748752e-02, 1.10070086e-01, 6.54448590e-02, 0.00000000e+00, 5.65418806e-01, 1.25000000e+00, 0.00000000e+00, -1.11183307e+00, 1.32301171e+00, -3.38131994e-01, 4.40213236e+00, 0.00000000e+00, 10.0000000000, 4.0000000000, 0.0019208167
           1, 8.48822439e-02, 1.51415066e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.92265892e-02, 1.49527337e-01, 8.81651465e-02, 0.00000000e+00, 5.60593117e-01, 1.25000000e+00, 0.00000000e+00, -1.28909524e+00, 9.56144064e-01, 9.09879142e-01, 4.22698827e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0034292833
           2, 1.01094098e-01, 1.82765008e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28660261e-02, 1.80516159e-01, 1.05057038e-01, 0.00000000e+00, 5.53137053e-01, 1.25000000e+00, 0.00000000e+00, -1.36165600e+00, 8.77502625e-01, 1.02671893e+00, 4.15304002e+00, 0.00000000e+00, 8.0000000000, 2.4552468317, 0.0049587333
           3, 1.10108872e-01, 1.99498437e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.50213199e-02, 1.97048949e-01, 1.14434704e-01, 0.00000000e+00, 5.51928492e-01, 1.25000000e+00, 0.00000000e+00, -1.41611098e+00, 9.12633911e-01, 1.08765377e+00, 4.09471181e+00, 0.00000000e+00, 9.0000000000, 2.6691657256, 0.0065764167
           4, 1.13635340e-01, 2.03516453e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60539091e-02, 2.00989080e-01, 1.18047986e-01, 0.00000000e+00, 5.58359473e-01, 1.25000000e+00, 0.00000000e+00, -1.43792528e+00, 9.51421918e-01, 1.10853754e+00, 4.07018803e+00, 0.00000000e+00, 9.0000000000, 2.8418622831, 0.0082135833
           5, 1.13727870e-01, 1.99101478e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.63079297e-02, 1.96573137e-01, 1.18044182e-01, 0.00000000e+00, 5.71205555e-01, 1.25000000e+00, 0.00000000e+00, -1.44312533e+00, 9.60776012e-01, 1.10740640e+00, 4.06351198e+00, 0.00000000e+00, 9.0000000000, 2.9141384372, 0.0098374667
           6, 1.12153725e-01, 1.90626071e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.60960086e-02, 1.88134086e-01, 1.16285522e-01, 0.00000000e+00, 5.88344107e-01, 1.25000000e+00, 0.00000000e+00, -1.44572876e+00, 9.52724806e-01, 1.09767151e+00, 4.05918038e+00, 0.00000000e+00, 9.0000000000, 2.9316370709, 0.0114792333
           7, 1.10020711e-01, 1.80933962e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.56507287e-02, 1.78490816e-01, 1.13941583e-01, 0.00000000e+00, 6.08071085e-01, 1.25000000e+00, 0.00000000e+00, -1.44948881e+00, 9.39718619e-01, 1.08749252e+00, 4.05317620e+00, 0.00000000e+00, 9.0000000000, 2.9404372743, 0.0131027333
           8, 1.07929175e-01, 1.71552660e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.51230831e-02, 1.69157372e-01, 1.11645892e-01, 0.00000000e+00, 6.29131459e-01, 1.25000000e+00, 0.00000000e+00, -1.45373476e+00, 9.28589044e-01, 1.07972331e+00, 4.04641685e+00, 0.00000000e+00, 9.0000000000, 2.9531937650, 0.0147120500
           9, 1.06150864e-01, 1.63176522e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.46058169e-02, 1.60822021e-01, 1.09685280e-01, 0.00000000e+00, 6.50527804e-01, 1.25000000e+00, 0.00000000e+00, -1.45728104e+00, 9.22209130e-01, 1.07462454e+00, 4.04035252e+00, 0.00000000e+00, 9.0000000000, 2.9676653012, 0.0164417833
          10, 1.04779670e-01, 1.56001682e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.41464958e-02, 1.53678801e-01, 1.08157894e-01, 0.00000000e+00, 6.71657309e-01, 1.25000000e+00, 0.00000000e+00, -1.45945893e+00, 9.21035781e-01, 1.07170824e+00, 4.03588182e+00, 0.00000000e+00, 9.0000000000, 2.9798064710, 0.0181417167
          11, 1.03807967e-01, 1.49974483e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.37626270e-02, 1.47674234e-01, 1.07054940e-01, 0.00000000e+00, 6.92170863e-01, 1.25000000e+00, 0.00000000e+00, -1.46022972e+00, 9.23735196e-01, 1.07036946e+00, 4.03319228e+00, 0.00000000e+00, 9.0000000000, 2.9872873975, 0.0197725833
          12, 1.03180130e-01, 1.44931576e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.34531869e-02, 1.42646224e-01, 1.06317242e-01, 0.00000000e+00, 7.11923053e-01, 1.25000000e+00, 0.00000000e+00, -1.45996139e+00, 9.29017605e-01, 1.07006291e+00, 4.03193143e+00, 0.00000000e+00, 9.0000000000, 2.9899394831, 0.0213881667
          13, 1.02825362e-01, 1.40681842e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.32079225e-02, 1.38405240e-01, 1.05869851e-01, 0.00000000e+00, 7.30907138e-01, 1.25000000e+00, 0.00000000e+00, -1.45905590e+00, 9.35908867e-01, 1.07037732e+00, 4.03163153e+00, 0.00000000e+00, 9.0000000000, 2.9871698057, 0.0230031167
          14, 1.02675142e-01, 1.37047512e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.30132635e-02, 1.34775052e-01, 1.05640383e-01, 0.00000000e+00, 7.49193764e-01, 1.25000000e+00, 0.00000000e+00, -1.45778114e+00, 9.43609858e-01, 1.07106354e+00, 4.03191926e+00, 0.00000000e+00, 9.0000000000, 2.9778421339, 0.0246013667
          15, 1.02671064e-01, 1.33877729e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28556245e-02, 1.31606112e-01, 1.05567159e-01, 0.00000000e+00, 7.66901748e-01, 1.25000000e+00, 0.00000000e+00, -1.45628310e+00, 9.51758333e-01, 1.07200503e+00, 4.03256912e+00, 0.00000000e+00, 9.0000000000, 2.9647598982, 0.0262152000
          16, 1.02767127e-01, 1.31055207e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27234195e-02, 1.28782166e-01, 1.05601626e-01, 0.00000000e+00, 7.84151427e-01, 1.25000000e+00, 0.00000000e+00, -1.45464053e+00, 9.60122774e-01, 1.07315056e+00, 4.03344853e+00, 0.00000000e+00, 9.0000000000, 2.9494597327, 0.0278320167
