"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
6, 9.950500061414720e-01, 1.952589986530588e-03, 1.124708338138564e+05, 2.455375606661820e-01, 6.276459595171251e-01
0, 1.000000000000000e+00, 1.260000000000000e-03, 9.836967768399493e+04, -6.510438290871552e-02, 5.574348192455405e-01
7, 9.900994398092199e-01, 2.641093451885584e-03, 1.110999926021234e+05, 2.153385631922439e-01, 6.399352723700110e-01
8, 9.851481603895055e-01, 3.324453371794136e-03, 1.100983712651696e+05, 1.932733086860180e-01, 6.511387861019285e-01
9, 9.801965024354113e-01, 4.005063348832943e-03, 1.092620190267930e+05, 1.748488559354840e-01, 6.606262778592851e-01
10, 9.752442730301827e-01, 4.681513538673568e-03, 1.085010457436315e+05, 1.580849666832216e-01, 6.689442686156613e-01
11, 9.702914653188965e-01, 5.353697566839345e-03, 1.078990135868945e+05, 1.448224768886909e-01, 6.760202561183690e-01
12, 9.653381036032206e-01, 6.021790798429101e-03, 1.073231942148829e+05, 1.321374426104765e-01, 6.822845266882025e-01
13, 9.603842008577392e-01, 6.685876144078542e-03, 1.067749252341787e+05, 1.200593307025375e-01, 6.883512122612064e-01
14, 9.554298395750150e-01, 7.346507095940136e-03, 1.062029764276469e+05, 1.074595631905575e-01, 6.942697695810617e-01
15, 9.504749266769582e-01, 8.003003734259847e-03, 1.056800297639830e+05, 9.593929020793669e-02, 6.998434919169296e-01
16, 9.455195495745250e-01, 8.655983691632025e-03, 1.051856591412166e+05, 8.504853418139628e-02, 7.051760219912050e-01
17, 9.405636470309757e-01, 9.304963653281468e-03, 1.047355436375234e+05, 7.513269794692168e-02, 7.100981469617418e-01
18, 9.356073057322269e-01, 9.950593333654077e-03, 1.043219335161756e+05, 6.602105839095353e-02, 7.146293887116254e-01
19, 9.306504392589279e-01, 1.059215602170054e-02, 1.039461882499721e+05, 5.774356407009225e-02, 7.187484965445956e-01
20, 9.256930582261167e-01, 1.122974725075702e-02, 1.035643157588395e+05, 4.933108981969950e-02, 7.226631584571112e-01
21, 9.207352148767488e-01, 1.186373442097628e-02, 1.032192824326768e+05, 4.173016532455778e-02, 7.262525135563933e-01
